id,reportyear,reportname,tablenum,tablename,"Columbia River Mouth","Non-treaty Catch","Bonneville Dam Count","Treaty Catch","Snake River Sockeye At Col. R. Mouth","Snake River Sockeye Non-treaty Catch","Snake River Sockeye Treaty Catch","Snake River Sockeye Lower Granite Escapement","Dam Counts Tumwater","Dam Counts Wells"
2008,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",214465,974,213607,9017,890,4,41,909,28340,165334
2009,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",179732,1188,177823,9731,1414,10,81,1406,16034,134937
2010,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",392193,468,386525,26125,1861,3,172,2406,35821,291764
2011,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",187365,1873,185796,12853,1561,18,123,1502,18634,111508
2012,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",521159,5491,515673,45352,512,6,46,470,43411,326107
2013,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",186191,718,185505,8046,1011,4,49,757,29229,129993
2014,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",651146,1738,614179,30702,2523,8,139,2786,99888,490804
2015,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",512455,1547,510706,30095,1749,5,102,440,51533,187055
2016,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",356606,1197,342498,16683,946,3,44,816,73748,216036
2017,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",88263,429,87693,4480,444,2,22,228,23854,42299
2018,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",210915,112,193816,7724,297,0,11,213,13962,153637
2019,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",63222,41,63046,1118,335,0,6,81,8878,49862
2020,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",345018,3357,341739,15258,750,7,32,640,43391,226107
2021,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",152322,563,151765,9528,952,4,60,645,30826,76255
2022,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",664935,1448,663253,28520,2329,5,99,2087,135837,478413
2023,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",15,"Estimated number of sockeye entering the Columbia River, mainstem harvest, and escapement",329040,1434,327600,22061,1999,9,134,1564,84473,136941
