id,reportyear,reportname,tablenum,tablename,"Commercial  Below BON Hatchery-Origin Release Mortalities (clipped and unclipped)","Commercial  Below BON Natural-Origin Release Mortalities","Recreational Below BON Hatchery-Origin Kept","Recreational Below BON Hatchery-Origin Rel. Mort.","Recreational Below BON Natural-Origin Rel. Mort.","Recreational BON Pool Hatchery-Origin Kept","Recreational BON Pool Hatchery-Origin Rel. Mort.","Recreational BON Pool Natural-Origin Rel. Mort.","Recreational TDA-Hwy 395 Hatchery-Origin Kept","Recreational TDA-Hwy 395 Hatchery-Origin Rel. Mort.","Recreational TDA-Hwy 395 Natural-Origin Rel. Mort.","Recreational Dip-Ins Hatchery-Origin Kept","Recreational Dip-Ins Hatchery-Origin Rel. Mort.","Recreational Dip-Ins Natural-Origin Rel. Mort.","Fall Season Total Hatchery-Origin Total Mort.","Fall Season Total Natural-Origin Rel. Mort."
2013,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,388,175,6034,51,593,1107,7,65,2401,41,100,7048,67,357,17144,1291
2014,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,572,277,6184,56,455,1343,11,75,2580,28,130,7426,59,378,18258,1315
2015,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,431,146,4168,26,228,929,4,36,4685,34,166,10920,53,419,21250,995
2016,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,488,125,1497,20,73,380,3,10,1685,19,44,4930,36,120,9057,371
2017,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,264,70,198,43,52,70,3,6,171,97,75,329,158,106,1332,307
2018,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,79,29,1117,6,75,37,0,10,0,0,0,981,21,178,2242,293
2019,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,48,23,0,23,20,4,2,5,40,1,8,150,72,128,340,184
2020,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,101,31,0,24,11,0,0,0,33,8,13,126,39,50,331,105
2021,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,150,52,10,34,19,0,0,1,20,2,2,28,23,29,268,103
2022,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,132,33,2,26,14,0,0,1,2,3,1,7,19,27,192,76
2023,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19a,Fall season A-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,134,41,0,41,21,0,16,5,0,5,4,16,19,44,232,115
